No,セリフ
1,PRODUCER_NAME…アイドルって楽しいな！
2,PRODUCER_NAME！　この前は最高のライブだったよな！
3,この会場の空気、緊張感…、やっぱたまらないね！
4,な、なに親指たてて笑ってんだよ！　PRODUCER_NAMEの…バカ。
5,PRODUCER_NAMEと話しながら歩くの、好きだし。…その…ありがと。
6,あたしが祈るんだ、効果は抜群さ。 保証はPRODUCER_NAMEがしてくれる。…だろ？
7,あたしの姿に見惚れたか？好きなだけ目を奪われてなよ。その分、あたしも…PRODUCER_NAMEを見てるから。
8,スタンバイ・オーケー、覚悟ならいつだってできてるさ。
9,さ、みんな！　次の曲も頼むよ！
10,ようやく来てくれた…愛しい貴方…？
11,PRODUCER_NAME、あんたって実は魔法使いだったりするのか？
12,頼りっぱなしは性分じゃない。だからPRODUCER_NAMEの夢、あたしに託しな！
13,…くぅ。た、たまにはこういうのも、悪くないよな…？
14,PRODUCER_NAME、あんたが教えてくれた道さ。…聴いてくれるだろ？
15,夜はこれから…だぜ♪
16,あたしの全部で、みんなのハートを鷲掴みにしてやるよ！
